Fishery,Category,percent
Dogfish,Repairs/Upgrades,0.189
"Fluke, BSB, Scup",Repairs/Upgrades,0.264
Groundfish,Repairs/Upgrades,0.179
Herring,Repairs/Upgrades,0.203
Highly Migratory Species,Repairs/Upgrades,0.412
Lobster,Repairs/Upgrades,0.235
Monkfish,Repairs/Upgrades,0.163
Other,Repairs/Upgrades,0.182
Scallop,Repairs/Upgrades,0.153
"Squid, Mackerel, Butterfish",Repairs/Upgrades,0.241
Striped Bass,Repairs/Upgrades,0.281
Dogfish,Vessel Costs,0.075
"Fluke, BSB, Scup",Vessel Costs,0.096
Groundfish,Vessel Costs,0.069
Herring,Vessel Costs,0.28
Highly Migratory Species,Vessel Costs,0.151
Lobster,Vessel Costs,0.081
Monkfish,Vessel Costs,0.045
Other,Vessel Costs,0.074
Scallop,Vessel Costs,0.183
"Squid, Mackerel, Butterfish",Vessel Costs,0.104
Striped Bass,Vessel Costs,0.271
Dogfish,Trip Expenses,0.406
"Fluke, BSB, Scup",Trip Expenses,0.294
Groundfish,Trip Expenses,0.328
Herring,Trip Expenses,0.123
Highly Migratory Species,Trip Expenses,0.225
Lobster,Trip Expenses,0.342
Monkfish,Trip Expenses,0.502
Other,Trip Expenses,0.274
Scallop,Trip Expenses,0.173
"Squid, Mackerel, Butterfish",Trip Expenses,0.252
Striped Bass,Trip Expenses,0.239
Dogfish,Crew Payments,0.234
"Fluke, BSB, Scup",Crew Payments,0.286
Groundfish,Crew Payments,0.353
Herring,Crew Payments,0.324
Highly Migratory Species,Crew Payments,0.15
Lobster,Crew Payments,0.248
Monkfish,Crew Payments,0.205
Other,Crew Payments,0.428
Scallop,Crew Payments,0.425
"Squid, Mackerel, Butterfish",Crew Payments,0.357
Striped Bass,Crew Payments,0.081
Dogfish,Overhead,0.096
"Fluke, BSB, Scup",Overhead,0.061
Groundfish,Overhead,0.07
Herring,Overhead,0.07
Highly Migratory Species,Overhead,0.061
Lobster,Overhead,0.094
Monkfish,Overhead,0.085
Other,Overhead,0.044
Scallop,Overhead,0.066
"Squid, Mackerel, Butterfish",Overhead,0.045
Striped Bass,Overhead,0.128
