Fishery,med_rev,med_op,med_tp,op_margin,tp_margin
Channeled Whelk,36683,18228,4940,49.7,13.5
Dogfish,50376,21653,-1641,43,-3.3
"Fluke, BSB, Scup",30484,13751,-2385,45.1,-7.8
Groundfish,513837,204553,21800,39.8,4.2
Herring,628833,331502,-35924,52.7,-5.7
Highly Migratory Species,14186,2818,-22366,19.9,-157.7
Lobster,146156,55218,-4462,37.8,-3.1
Monkfish,111515,-4724,-46124,-4.2,-41.4
Scallop,993348,454378,161993,45.7,16.3
"Squid, Mackerel, Butterfish",655878,265778,179847,40.5,27.4
Striped Bass,5853,4116,-7030,70.3,-120.1
