icf_master_id,permit,hullid,complete_1,complete_2,primary_gear_revenue,primary_fmp_revenue,commercial_revenue,recreational_revenue,total_revenue,observer_supply_cost,observer_water_cost,operating_survey_cost,crew_captain_survey_cost,non_operating_survey_cost,vessel_value,vessel_val_est,vessel_age,depreciation_cost,total_operating_profit_no_crew,total_operating_cost,total_operating_profit,total_cost,total_profit,Gear,Fishery,Gear_Fishery,gears,count_gear
32537151B,152410,ME171ZP,1,2,27497,27497,43517,0,43517,2651,407,20000,70000,61600,350000,120265,29,2405.3,20459,93058,-49541,152252.7,-108735.7,Dredge_Scallop,Scallop,Dredge_Scallop-Scallop,1,29
52281011K,152675,ME22GZC,1,2,134915,134915,134915,0,134915,6496,1004,77759,0,57206,230000,119870,30,2397.4,49656,85259,49656,140067.6,-5152.6,Dredge_Scallop,Scallop,Dredge_Scallop-Scallop,1,29
98729369J,153577,MS9887BR,1,2,176188,175881,176188,0,176188,7023,1085,28900,23957,199195,0,95155,19,3806.2,139180,60965,115223,256353.8,-80165.8,Dredge_Scallop,Scallop,Dredge_Scallop-Scallop,1,29
33603208G,230301,590815,1,2,385010,385001,385010,0,385010,9481,1465,16124,103643,154099,0,160836,44,3216.72,357940,130713,254297,281595.28,103414.72,Dredge_Scallop,Scallop,Dredge_Scallop-Scallop,1,29
65812795E,240229,556363,1,2,362328,361641,362328,0,362328,7901,1221,65000,56000,62400,350000,945016,48,18900.32,288206,130122,232206,173621.68,188706.32,Dredge_Scallop,Scallop,Dredge_Scallop-Scallop,1,29
71999250H,240770,656499,1,2,431682,431682,431682,0,431682,10359,1601,12445,183000,134637,250000,154887,39,3097.74,407277,207405,224277,338944.26,92737.74,Dredge_Scallop,Scallop,Dredge_Scallop-Scallop,1,29
16704665B,241760,908045,1,2,130790,130537,130790,0,130790,2634,407,10725,18553,24863,45000,641940,35,12838.8,117024,32319,98471,44343.2,86446.8,Dredge_Scallop,Scallop,Dredge_Scallop-Scallop,1,29
43732126K,242556,1056845,1,2,235101,235101,282723,0,282723,14375,2117,7020,80000,56150,807000,108862,25,2177.24,259211,103512,179211,157484.76,125238.24,Dredge_Scallop,Scallop,Dredge_Scallop-Scallop,1,29
97703989A,242786,1166401,1,2,16810,16810,16810,0,16810,1931,298,78750,23000,49650,375000,81132,18,3245.28,-64169,103979,-87169,150383.72,-133573.72,Dredge_Scallop,Other,Dredge_Scallop-Other,1,29
19765510H,242848,1183969,1,2,227683,227683,273647,0,273647,15279,2091,116714,89090,62808,400000,79733,16,3189.32,139563,223174,50473,282792.68,-9145.68,Dredge_Scallop,Scallop,Dredge_Scallop-Scallop,1,29
