Gear_Fishery,Category,percent
Dredge_Scallop-Scallop,Repairs/Upgrades,0.153
Gillnet-Monkfish,Repairs/Upgrades,0.163
Gillnet-Other,Repairs/Upgrades,0.183
"Handgear-Fluke, BSB, Scup",Repairs/Upgrades,0.392
Handgear-Highly Migratory Species,Repairs/Upgrades,0.43
Handgear-Other,Repairs/Upgrades,0.43
Handgear-Striped Bass,Repairs/Upgrades,0.298
Longline-Highly Migratory Species,Repairs/Upgrades,0.355
"Pot/Trap-Fluke, BSB, Scup",Repairs/Upgrades,0.363
Pot/Trap-Lobster,Repairs/Upgrades,0.235
Pot/Trap-Other,Repairs/Upgrades,0.183
"Trawl-Fluke, BSB, Scup",Repairs/Upgrades,0.232
Trawl-Groundfish,Repairs/Upgrades,0.179
Trawl-Other,Repairs/Upgrades,0.161
"Trawl-Squid, Mackerel, Butterfish",Repairs/Upgrades,0.242
Dredge_Scallop-Scallop,Vessel Costs,0.183
Gillnet-Monkfish,Vessel Costs,0.045
Gillnet-Other,Vessel Costs,0.071
"Handgear-Fluke, BSB, Scup",Vessel Costs,0.197
Handgear-Highly Migratory Species,Vessel Costs,0.148
Handgear-Other,Vessel Costs,0.162
Handgear-Striped Bass,Vessel Costs,0.333
Longline-Highly Migratory Species,Vessel Costs,0.163
"Pot/Trap-Fluke, BSB, Scup",Vessel Costs,0.181
Pot/Trap-Lobster,Vessel Costs,0.08
Pot/Trap-Other,Vessel Costs,0.078
"Trawl-Fluke, BSB, Scup",Vessel Costs,0.069
Trawl-Groundfish,Vessel Costs,0.064
Trawl-Other,Vessel Costs,0.227
"Trawl-Squid, Mackerel, Butterfish",Vessel Costs,0.104
Dredge_Scallop-Scallop,Trip Expenses,0.173
Gillnet-Monkfish,Trip Expenses,0.502
Gillnet-Other,Trip Expenses,0.325
"Handgear-Fluke, BSB, Scup",Trip Expenses,0.337
Handgear-Highly Migratory Species,Trip Expenses,0.213
Handgear-Other,Trip Expenses,0.247
Handgear-Striped Bass,Trip Expenses,0.191
Longline-Highly Migratory Species,Trip Expenses,0.264
"Pot/Trap-Fluke, BSB, Scup",Trip Expenses,0.257
Pot/Trap-Lobster,Trip Expenses,0.342
Pot/Trap-Other,Trip Expenses,0.435
"Trawl-Fluke, BSB, Scup",Trip Expenses,0.296
Trawl-Groundfish,Trip Expenses,0.335
Trawl-Other,Trip Expenses,0.207
"Trawl-Squid, Mackerel, Butterfish",Trip Expenses,0.252
Dredge_Scallop-Scallop,Crew Payments,0.425
Gillnet-Monkfish,Crew Payments,0.205
Gillnet-Other,Crew Payments,0.324
"Handgear-Fluke, BSB, Scup",Crew Payments,0.017
Handgear-Highly Migratory Species,Crew Payments,0.15
Handgear-Other,Crew Payments,0.081
Handgear-Striped Bass,Crew Payments,0.034
Longline-Highly Migratory Species,Crew Payments,0.15
"Pot/Trap-Fluke, BSB, Scup",Crew Payments,0.14
Pot/Trap-Lobster,Crew Payments,0.248
Pot/Trap-Other,Crew Payments,0.268
"Trawl-Fluke, BSB, Scup",Crew Payments,0.341
Trawl-Groundfish,Crew Payments,0.353
Trawl-Other,Crew Payments,0.349
"Trawl-Squid, Mackerel, Butterfish",Crew Payments,0.358
Dredge_Scallop-Scallop,Overhead,0.066
Gillnet-Monkfish,Overhead,0.085
Gillnet-Other,Overhead,0.097
"Handgear-Fluke, BSB, Scup",Overhead,0.057
Handgear-Highly Migratory Species,Overhead,0.059
Handgear-Other,Overhead,0.08
Handgear-Striped Bass,Overhead,0.144
Longline-Highly Migratory Species,Overhead,0.068
"Pot/Trap-Fluke, BSB, Scup",Overhead,0.059
Pot/Trap-Lobster,Overhead,0.094
Pot/Trap-Other,Overhead,0.036
"Trawl-Fluke, BSB, Scup",Overhead,0.062
Trawl-Groundfish,Overhead,0.069
Trawl-Other,Overhead,0.056
"Trawl-Squid, Mackerel, Butterfish",Overhead,0.044
